Sample,长海成分集合,长海首位成分,NNLS主成分,NNLS成分构成,relative_residual,residual_flag,NNLS主成分合理归属,NNLS组合覆盖>=0.10,SVM粗主类,SVM参考强度,SVM_NNLS粗类一致,PLSDA_Main,PLSDA合理归属,PLSR_Main,PLSR_Composition,PLSR合理归属,PLSR组合覆盖>=0.10,长海原始标签,CAOX,DCY,URIC,APA,DCP,residual,NNLS粗类,构成状态,SVM粗主类中文,Pred_Label,PLSR_Coarse,Coarse_Match,NNLS主成分首位命中,NNLS候选成分>=0.10,NNLS组合覆盖>=0.20,NNLS_Top2覆盖,PLSDA首位命中,PLSR首位命中,PLSR候选成分>=0.10
S31,APA+CAOX,APA,CAOX,CAOX 0.45 / DCY 0.13 / APA 0.19 / DCP 0.19,0.11294269707816698,一般（可能轻微偏差）,True,True,PHOS,0.3944549908124362,False,CAOX,True,APA,APA:0.33 / CAOX:0.31 / DCY:0.24 / DCP:0.12,True,True,碳酸磷灰石、二水草酸钙、微量一水草酸钙,0.4515176578301818,0.12908335386523542,0.04026278405003912,0.1857335930221345,0.19340261123240915,0.008709129280490727,CAOX,CAOX 为主，伴少量混合,磷酸盐,Prob_CAOX,PHOS,True,False,APA+CAOX+DCP+DCY,False,False,False,True,APA+CAOX+DCP+DCY
S32,APA+CAOX,APA,APA,CAOX 0.18 / DCY 0.13 / APA 0.56 / DCP 0.10,0.08606878382625391,一般（可能轻微偏差）,True,True,PHOS,0.4138792596030986,True,APA,True,APA,APA:0.59 / DCY:0.21 / CAOX:0.13,True,True,碳酸磷灰石、二水草酸钙,0.1813616466908261,0.12801037331094536,0.031127562937599,0.5564989539420059,0.10300146311862358,0.006409500382212545,PHOS,APA 为主,磷酸盐,Prob_APA,PHOS,True,True,APA+CAOX+DCP+DCY,False,True,True,True,APA+CAOX+DCY
S34,APA+CAOX,CAOX,APA,CAOX 0.33 / APA 0.47,0.048371134657444664,拟合很好（可信）,True,True,PHOS,0.4851899908831583,True,CAOX,True,APA,APA:0.51 / CAOX:0.25 / DCP:0.12,True,True,一水草酸钙、碳酸磷灰石、微量二水草酸钙,0.32748122370018895,0.04847008648772293,0.06636733008398814,0.47354363558485496,0.08413772414324498,0.0036632067823243295,PHOS,APA 为主，伴少量混合,磷酸盐,Prob_CAOX,PHOS,True,False,APA+CAOX,True,True,True,False,APA+CAOX+DCP
S35,CAOX,CAOX,CAOX,CAOX 0.46 / URIC 0.17 / APA 0.11 / DCP 0.23,0.04192278434174438,拟合很好（可信）,True,True,PHOS,0.45369852540270356,False,CAOX,True,CAOX,CAOX:0.36 / APA:0.30 / DCP:0.22,True,True,一水草酸钙,0.45696064660519525,0.03500517380850525,0.1711339772043934,0.11043961752362084,0.2264605848582853,0.0033454556728082243,CAOX,CAOX 为主，伴少量混合,磷酸盐,Prob_CAOX,CAOX,False,True,APA+CAOX+DCP+URIC,True,True,True,True,APA+CAOX+DCP
S36,CAOX+DCP,CAOX,DCP,CAOX 0.26 / URIC 0.17 / DCP 0.53,0.09879172908382305,一般（可能轻微偏差）,True,True,PHOS,0.4608837773006589,True,DCP,True,APA,APA:0.33 / DCP:0.26 / DCY:0.21 / CAOX:0.20,False,True,一水草酸钙，二水磷酸氢钙,0.2641269285662366,0.04073073949574461,0.16789989183882978,0.0,0.527242440099189,0.008017177077355699,PHOS,DCP 为主，伴少量混合,磷酸盐,Prob_DCP,PHOS,True,False,CAOX+DCP+URIC,True,True,False,False,APA+CAOX+DCP+DCY
S37,APA+CAOX,CAOX,DCP,CAOX 0.30 / APA 0.26 / DCP 0.32,0.04184332807278019,拟合很好（可信）,False,True,PHOS,0.5155754369617342,True,DCP,False,APA,APA:0.43 / CAOX:0.26 / DCP:0.23,True,True,一水草酸钙、碳酸磷灰石、微量二水草酸钙,0.2989100427275441,0.02734260382716155,0.09391478889866346,0.2554485249966675,0.3243840395499634,0.003288139828984548,PHOS,DCP 混合成分明显,磷酸盐,Prob_DCP,PHOS,True,False,APA+CAOX+DCP,True,False,False,False,APA+CAOX+DCP
S38,CAOX+URIC,CAOX,DCP,CAOX 0.30 / URIC 0.12 / APA 0.24 / DCP 0.34,0.03096519943628376,拟合很好（可信）,False,True,PHOS,0.45422441533228347,True,CAOX,True,APA,APA:0.33 / DCP:0.32 / CAOX:0.26,False,False,一水草酸钙、尿酸铵,0.3035301751874641,0.00379440520957358,0.11752267412283132,0.2370442421790555,0.33810850330107545,0.0024399488799210813,PHOS,DCP 混合成分明显,磷酸盐,Prob_CAOX,PHOS,True,False,APA+CAOX+DCP+URIC,False,False,True,False,APA+CAOX+DCP
S39,APA+CAOX,APA,URIC,CAOX 0.23 / URIC 0.43 / APA 0.15 / DCP 0.12,0.07483941132422707,一般（可能轻微偏差）,False,True,URIC,0.31188859493195664,True,URIC,False,APA,APA:0.30 / URIC:0.25 / CAOX:0.15 / DCY:0.15 / DCP:0.15,True,True,碳酸磷灰石、二水草酸钙,0.23084273185194987,0.07355935916694828,0.43145136173434784,0.14869622231911914,0.11545032492763486,0.005984986937940238,URIC,URIC 混合成分明显,尿酸,Prob_URIC,PHOS,False,False,APA+CAOX+DCP+URIC,False,False,False,True,APA+CAOX+DCP+DCY+URIC
S41,CAOX,CAOX,CAOX,CAOX 0.47 / URIC 0.17 / APA 0.15 / DCP 0.21,0.03286658152130186,拟合很好（可信）,True,True,PHOS,0.4131078394423464,False,CAOX,True,CAOX,CAOX:0.36 / DCP:0.28 / APA:0.26,True,True,一水草酸钙,0.46770536473208574,0.008230530062924384,0.16773339124299255,0.1463022107679604,0.2100285031940368,0.0026200607047907097,CAOX,CAOX 为主，伴少量混合,磷酸盐,Prob_CAOX,CAOX,False,True,APA+CAOX+DCP+URIC,True,True,True,True,APA+CAOX+DCP
S45,CAOX,CAOX,CAOX,CAOX 0.39 / URIC 0.14 / APA 0.21 / DCP 0.23,0.03991013605831181,拟合很好（可信）,True,True,PHOS,0.39979723937155653,False,CAOX,True,APA,APA:0.37 / CAOX:0.31 / DCP:0.20,False,True,一水草酸钙,0.38813360029367755,0.035172916031454365,0.14166591686499558,0.20866735148475862,0.22636021532511397,0.003147388331243465,CAOX,CAOX 混合成分明显,磷酸盐,Prob_CAOX,PHOS,True,True,APA+CAOX+DCP+URIC,True,True,True,False,APA+CAOX+DCP
S48,DCP,DCP,DCP,DCY 0.10 / URIC 0.11 / APA 0.15 / DCP 0.57,0.07978069833788151,一般（可能轻微偏差）,True,True,PHOS,0.4792035647246628,True,DCP,True,APA,APA:0.48 / DCP:0.26 / DCY:0.16 / CAOX:0.11,False,True,二水磷酸氢钙,0.06883271778613348,0.10167212341878162,0.11438694911185386,0.14862566002463787,0.5664825496585931,0.006300554915989998,PHOS,DCP 为主,磷酸盐,Prob_DCP,PHOS,True,True,APA+DCP+DCY+URIC,True,True,True,False,APA+CAOX+DCP+DCY
S50,CAOX+URIC,CAOX,URIC,CAOX 0.32 / URIC 0.34 / APA 0.31,0.07604072946208919,一般（可能轻微偏差）,True,True,PHOS,0.3689240135616923,False,CAOX,True,APA,APA:0.33 / DCP:0.19 / URIC:0.19 / CAOX:0.18 / DCY:0.11,False,True,二水草酸钙，无水尿酸,0.31515456830392824,0.020232077940042996,0.33566332724464004,0.31118560506751697,0.017764421443871754,0.005903268736118438,URIC,URIC 混合成分明显,磷酸盐,Prob_CAOX,PHOS,False,False,APA+CAOX+URIC,True,True,True,False,APA+CAOX+DCP+DCY+URIC
S52,URIC,URIC,URIC,CAOX 0.11 / URIC 0.88,0.09587610172024115,一般（可能轻微偏差）,True,True,URIC,0.701339700403477,True,URIC,True,URIC,URIC:0.74,True,True,无水尿酸,0.10517655166549218,0.013305441420238297,0.8769709733225711,0.004547033591698408,0.0,0.00847245588137687,URIC,URIC 为主,尿酸,Prob_URIC,URIC,True,True,CAOX+URIC,True,True,True,True,URIC
S54,APA+URIC,APA,APA,CAOX 0.34 / DCY 0.10 / APA 0.47,0.10779710418487642,一般（可能轻微偏差）,True,False,PHOS,0.429463251878278,True,APA,True,APA,APA:0.48 / CAOX:0.22 / DCY:0.21,True,False,碳酸磷灰石、黄嘌呤,0.33924644774078394,0.10416547668492913,0.00972842502659464,0.4690329893396585,0.07782666120803373,0.00805475198975234,PHOS,APA 为主，伴少量混合,磷酸盐,Prob_APA,PHOS,True,True,APA+CAOX+DCY,False,False,True,True,APA+CAOX+DCY
S55,APA+URIC,APA,APA,CAOX 0.38 / APA 0.39 / DCP 0.15,0.11142839006962948,一般（可能轻微偏差）,True,False,PHOS,0.3766842655694016,True,CAOX,False,APA,APA:0.40 / CAOX:0.25 / DCY:0.20 / DCP:0.14,True,False,碳酸磷灰石、尿酸铵,0.3808396775744682,0.0761314542476551,0.0,0.3931590798349371,0.14986978834293962,0.00840743254681304,PHOS,APA 混合成分明显,磷酸盐,Prob_CAOX,PHOS,True,True,APA+CAOX+DCP,False,False,False,True,APA+CAOX+DCP+DCY
S57,URIC,URIC,URIC,URIC 0.58 / APA 0.20,0.10652114614668443,一般（可能轻微偏差）,True,True,URIC,0.5082361186630039,True,URIC,True,URIC,URIC:0.36 / APA:0.25 / DCY:0.20 / DCP:0.16,True,True,无水尿酸,0.09763698678938285,0.09926139163014992,0.583257522771458,0.20272527021644646,0.01711882859256275,0.00851951666450652,URIC,URIC 为主，伴少量混合,尿酸,Prob_URIC,URIC,True,True,APA+URIC,True,True,True,True,APA+DCP+DCY+URIC
S58,APA+CAOX,CAOX,APA,CAOX 0.24 / APA 0.42 / DCP 0.26,0.04486750176315616,拟合很好（可信）,True,True,PHOS,0.5353356325525572,True,DCP,False,APA,APA:0.49 / DCP:0.23 / CAOX:0.20,True,True,一水草酸钙、碳酸磷灰石、微量二水草酸钙,0.243485062758231,0.027116685320065857,0.05846863878673195,0.4151181199509692,0.2558114931840019,0.0034425718668101416,PHOS,APA 混合成分明显,磷酸盐,Prob_DCP,PHOS,True,False,APA+CAOX+DCP,True,False,False,False,APA+CAOX+DCP
S62,URIC,URIC,URIC,URIC 0.63 / APA 0.15,0.10545009727410992,一般（可能轻微偏差）,True,True,URIC,0.48515983998455875,True,URIC,True,URIC,URIC:0.39 / APA:0.22 / DCY:0.20 / DCP:0.17,True,True,无水尿酸,0.08349166583993507,0.09037003539507903,0.632262655506536,0.15401047676595728,0.03986516649249254,0.008540949697438776,URIC,URIC 为主,尿酸,Prob_URIC,URIC,True,True,APA+URIC,True,True,True,True,APA+DCP+DCY+URIC
S64,URIC,URIC,URIC,URIC 0.77,0.10498547967467776,一般（可能轻微偏差）,True,True,URIC,0.6073580346811875,True,URIC,True,URIC,URIC:0.49 / APA:0.20 / DCY:0.17 / DCP:0.12,True,True,无水尿酸,0.07920127641975218,0.0685874607542234,0.770093609629139,0.06883916504970301,0.013278488147182403,0.008759456552319387,URIC,URIC 为主,尿酸,Prob_URIC,URIC,True,True,URIC,True,True,True,True,APA+DCP+DCY+URIC
S70,URIC,URIC,URIC,URIC 0.62 / APA 0.18,0.10662966815494763,一般（可能轻微偏差）,True,True,URIC,0.5083649180542807,True,URIC,True,URIC,URIC:0.39 / APA:0.25 / DCY:0.19 / DCP:0.16,True,True,无水尿酸,0.07573023317609756,0.09231020688654448,0.6245169185746845,0.17617049768841783,0.03127214367425569,0.008596150072898535,URIC,URIC 为主,尿酸,Prob_URIC,URIC,True,True,APA+URIC,True,True,True,True,APA+DCP+DCY+URIC
